Brand Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories
Biostar M800,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,"R5, x58",,,,,,5000/4450,Mid-Range NVMe
Biostar P500,USB 3.2 Gen 2x1,USB-C,512GB-1TB,,,,,,,,1000/900,Entry-Level NVMe
Biostar S160,SATA/AHCI,"2.5""",256GB-512GB,,,,,,TLC,,550/510,
Buffalo SSD-PSMU3,USB 3.2 Gen 1x1,USB-C,120GB-960GB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,430/430,Mid-Range SATA
CalDigit Tuff Nano Plus,USB 3.2 Gen 2x1,USB-C,512GB-2TB,,,,,,,,1055,
CFD Gaming PG5NFZ,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,232,10000/9500,High-End NVMe
Colorful CN600,x4 PCIe 3.0/NVMe,M.2,128GB-512GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2000/1600,Entry-Level NVMe
Colorful CN600 Pro,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,,TLC,,3400/3100,Mid-Range NVMe
Colorful CN700,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Maxio MAP1602,"Dual R5, 4x4",No,Yes,YMTC,TLC,128,5000/4500,Mid-Range NVMe
Colorful SL500,SATA/AHCI,"2.5""",240GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,TLC,32,500+/400+,Entry-Level SATA
Corsair EX100U,USB 3.2 Gen 2x2,USB-C,512GB-4TB,Phison U18,"Single-CPU, 2-ch, 8-CE/ch",No,No,Kioxia,TLC,112,1600/1500,Entry-Level NVMe
