Brand Model,Interface,Form Factor,Capacities,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,"R/W (Up to, in MB/s)",Categories
Mushkin CarbonX,USB 3.2 Gen 2x1,USB-C,500GB-2TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,N/A,,,,1020/1000,Entry-Level NVMe
Mushkin DELTA,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,QLC,,4975/3975,Mid-Range NVMe
Mushkin EON,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,,,,4000/3000,
Mushkin EON Pro,x4 PCIe 4.0/NVMe,M.2,Up to 16TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,,,,6400/3900,
Mushkin Epsilon,,,,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,,,High-End NVMe
Mushkin GAMMA,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7175/6800,High-End NVMe
Mushkin Helix-L,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2110/1700,Entry-Level NVMe
Mushkin Helix-LT,x4 PCIe 3.0/NVMe,M.2,500GB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Intel,QLC,,2100/850,Garbage
Mushkin Pilot,x4 PCIe 3.0/NVMe,M.2,120GB-2TB,SMI SM2262,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64,2710/1775,Mid-Range NVMe
Mushkin Pilot-E,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,SMI SM2262EN,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,96,3500/3100,Mid-Range NVMe
Mushkin Raw,SATA/AHCI,"2.5""",240GB-1TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,96,560/510,Entry-Level SATA
Mushkin Redline Vortex,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Innogrit IG5236,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7415/6800,High-End NVMe
Mushkin Reactor,SATA/AHCI,"2.5""",250GB-1TB,SMI SM2246EN,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,MLC,N/A,560/460,Mid-Range SATA
Mushkin Reactor LT,SATA/AHCI,"2.5""",250GB-500GB,SMI SM2246EN,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,MLC,N/A,560/305,Mid-Range SATA
Mushkin Source,SATA/AHCI,"2.5"" & M.2 (1TB)",250GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,560/520,Entry-Level SATA
Mushkin Source II,SATA/AHCI,"2.5"" & M.2 (1TB)",250GB-2TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,96,560/515,Entry-Level SATA
Mushkin Source Q,USB 3.2 Gen 2x1,USB-C,500GB-2TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,QLC,64,560/515,Entry-Level SATA
Mushkin Tempest,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,InnoGrit IG5216,"Dual-core, 4x4",No,Yes,,TLC,96+,3300/2900,Entry-Level NVMe
Mushkin Triactor 3DL,SATA/AHCI,"2.5""",80GB-1TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,550/505,Entry-Level SATA
Mushkin Triactor 3DX,SATA/AHCI,"2.5""",120GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,565/530,High-End SATA
Mushkin Vortex LX,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Innogrit IG5220,"Tri-core R5, 4x8",No,Yes,,TLC,,4985/4775,Mid-Range NVMe
Neo Forza NFP400,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Innogrit IG5236,"Quad-core, 4-Ch, 8-CE/ch",Yes,N/A,YMTC,TLC,128,7400/6800,High-End NVMe
Neo Forza NFP455,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,10000/10000,High-End NVMe
Neo Forza NFP495,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,TenaFe TC2201,"Dual Cortex-M7, 4-ch, 4-CE/ch",No,Yes,YMTC,TLC,232,7200/6500,High-End NVMe
Neo Forza Zion NFS01,SATA/AHCI,"2.5""",120GB-960GB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,560/520,Entry-Level SATA
Neo Forza Zion NFS06,SATA/AHCI,"2.5""",120GB-480GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Micron,TLC,64,560/510,High-End SATA
Netac Extreme Portable,,,,,,,,,,,,
Netac NV3000,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Realtek RTS5766DL,4-Ch,No,Yes,YMTC,TLC,64/96+,3500/2100,Entry-Level NVMe
Netac NV5000,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Netac NV5000-t,x4 PCIe 4.0/NVMe,M.2,500GB-1TB,TenaFe TC2200,"Dual M7, 4x4",No,Yes,YMTC,TLC,128,4800/4600,Mid-Range NVMe
Netac NV7000,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7200/6850,High-End NVMe
Netac NV7000-t,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,,,,,,,,7300/6700,
Netac Portable,,,,,,,,,,,,
Netac SA500,SATA/AHCI,"2.5""",120GB-1TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,,TLC,,530/475,Entry-Level SATA
Nextorage NEM-PA,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7000/6850,High-End NVMe
Nextorage NE5N,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,,High-End NVMe
Nextorage NN5Pro,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/11800,High-End NVMe
Orico GV100,USB 3.2 Gen 2x1,USB-C,128GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,940/940,Entry-Level NVMe
Orico V500,x4 PCIe 3.0/NVMe,M.2,128GB-1TB,SMI SM2263XT,"Dual-core, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,64,2070/1668,Entry-Level NVMe
Patriot Burst,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,560/540,Entry-Level SATA
Patriot Burst Elite,SATA/AHCI,"2.5""",120GB-1.92TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Intel,QLC,64,450/450,Entry-Level SATA
Patriot EVLVR 2,Thunderbolt 3,USB-C,Up to 2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,2850/2600,Mid-Range NVMe
Patriot P200,SATA/AHCI,"2.5""",256GB-2TB,SMI SM2258XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,Micron,TLC,64,530/460,Entry-Level SATA
Patriot P210,SATA/AHCI,"2.5""",Up to 2TB,SMI SM2259XT,"Single-core, 4-ch, 4-CE/ch",No,N/A,,,,520/430,Entry-Level SATA
Patriot P220,SATA/AHCI,"2.5""",Up to 4TB,Maxio MAS1102,"ARM, 2x8",No,N/A,YMTC,TLC,,,Entry-Level SATA
Patriot P300,x4 PCIe 3.0/NVMe,M.2,128GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,2100/1650,Entry-Level NVMe
Patriot P310,x4 PCIe 3.0/NVMe,M.2,240GB-1.92TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,176,2100/1800,Entry-Level NVMe
Patriot P400,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000/4800,Mid-Range NVMe
Patriot P400 Lite,,,,SMI SM2267XT,"Dual R5, 4x4",No,Yes,,,,3500/2700,Entry-Level NVMe
Patriot PD573,x4 PCIe 5.0/NVMe,M.2,1TB-8TB,Maxio MAP1802,,No,Yes,,TLC,,14000/12000,High-End NVMe
Patriot PV553,x4 PCIe 5.0/NVMe,M.2,1TB-4TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12400/11800,High-End NVMe
Patriot PXD,USB 3.2 Gen 2x1,USB-C,512GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,1000/1000,Entry-Level NVMe
Patriot Scorch,x2 PCIe 3.0/NVMe,M.2,128GB-512GB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,1700/950,Entry-Level NVMe
Patriot Viper VP4100,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,4800/4000,Mid-Range NVMe
Patriot Viper VP4300,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,Micron,TLC,96,7400/6800,High-End NVMe
Patriot Viper VP4300 Lite,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Maxio MAP1602,"ARM, 2x8",No,Yes,YMTC,TLC,232,7400/6400,
Patriot Viper VPN100,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe
Patriot Viper VPN110,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,,TLC,,3300/3000,Mid-Range NVMe
Patriot Viper VPR100,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3300/2900,Mid-Range NVMe
Patriot Viper VPR400,x4 PCIe 4.0/NVMe,M.2,512GB-1TB,InnoGrit IG5220,"Tri-core R5, 4x8",No,Yes,Micron,TLC,176,5000/4600,Mid-Range NVMe
Patriot VP4000 Mini,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,QLC,176,5000/3500,
Pioneer APS-SE20G,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe
Pioneer APS-SE20Q,x4 PCIe 3.0/NVMe,M.2,500GB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,3400/3000,Mid-Range NVMe
Pioneer APS-SL3,SATA/AHCI,"2.5""",240GB-1TB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,550/500,Entry-Level SATA
Pioneer XS03,USB 3.2 Gen 2x1,USB-C,,,,,,,,,,
Plextor M8V/M8VG,SATA/AHCI,"2.5"" & M.2",128GB-512GB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Kioxia,TLC,64,560/520,Mid-Range SATA
Plextor M8V Plus,SATA/AHCI,"2.5"" & M.2",256GB-1TB,SMI SM2258,"Single-core, 4-ch, 8-CE/ch",Yes,N/A,Kioxia,TLC,96,560/520,High-End SATA
Plextor M9P+,x4 PCIe 3.0/NVMe,M.2 & AIC,256GB-1TB,Marvell 88SS1092,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Kioxia,TLC,96,3400/2200,Mid-Range NVMe
Plextor M9PeY/G/GN,x4 PCIe 3.0/NVMe,M.2 & AIC,256GB-1TB,Marvell 88SS1093,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Kioxia,TLC,64,3200/2100,Mid-Range NVMe
Plextor M10e,x4 PCIe 4.0/NVMe,M.2,256GB-1TB,SM2267XT,"Dual R5, 4x4",No,Yes,Kioxia,TLC,112,3700/2600,Entry-Level NVMe
Plextor M10P,x4 PCIe 4.0/NVMe,M.2 & AIC,512GB-2TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,N/A,Kioxia,TLC,96,7000/5000,High-End NVMe
Plextor S3C/G,SATA/AHCI,"2.5"" & M.2 (256GB)",128GB-512GB,SMI SM2254,"Single-core, 4-ch, 8-CE/ch",Yes,No,Hynix,TLC,N/A,550/500,Entry-Level SATA
PNY CS1030,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,YMTC,TLC/QLC,64+,2100/1900,Entry-Level NVMe
PNY CS1031,x4 PCIe 3.0/NVMe,M.2,256GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,,TLC,,2400/1750,Entry-Level NVMe
PNY CS1311,SATA/AHCI,"2.5""",120GB-2TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,550/520,Mid-Range SATA
PNY CS2040,SATA/AHCI,"2.5""",128GB-1TB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Kioxia,TLC,64,560/540,Entry-Level SATA
PNY CS2130,x4 PCIe 3.0/NVMe,M.2,500GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Intel,QLC,96,3500/3000,Mid-Range NVMe
PNY CS2140,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,Phison E19T,"Single R5 + CoX, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,176,3600/3200,Entry-Level NVMe
PNY CS2142,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E21T,,No,Yes,Micron,QLC,176,5000/3200,
PNY CS2230,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,Maxio MAP1202,"Dual R5, 4x4",No,Yes,Micron,TLC,176,3300/2600,Entry-Level NVMe
PNY CS2241,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,5000/4200,Mid-Range NVMe
PNY CS2311,SATA/AHCI,"2.5""",250GB-2TB,Phison S12,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64/96,550/500,Mid-Range SATA
PNY CS3030,x4 PCIe 3.0/NVMe,M.2,250GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3500/3100,Mid-Range NVMe
PNY CS3040,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5600/4300,Mid-Range NVMe
PNY CS3140,x4 PCIe 4.0/NVMe,M.2,1TB-8TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7500/6850,High-End NVMe
PNY CS3150,x4 PCIe 5.0/NVMe,M.2,1TB-2TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,12000/11000,High-End NVMe
PNY CS4040,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,4800/4000,Mid-Range NVMe
PNY CS900,SATA/AHCI,"2.5""",120GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Micron,TLC,64,550/515,Entry-Level SATA
PNY Elite,USB 3.2 Gen 1x1,USB-A,240GB-960GB,Phison S11,"Single-core, 2-ch, 8-CE/ch",No,N/A,Micron,TLC,64,430/400,Entry-Level SATA
PNY Pro Elite,USB 3.2 Gen 2x1,USB-C,250GB-1TB,Phison E8,"Dual-core, 4-ch, 8-CE/ch",Yes,No,Kioxia,TLC,64,880/900,Entry-Level NVMe
PNY Pro Elite 2,,,,Phison U17,,No,N/A,,,,,
PNY Pro EliteX-PRO,USB 3.2 Gen 2x2,USB-C,,,,,,,,,,
PNY RP60,USB 3.2 Gen 2x2,USB-C,1TB-2TB,,,,,,,,2000/1800,
Sabrent Rocket,x4 PCIe 3.0/NVMe,M.2,256GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/3000,Mid-Range NVMe
Sabrent Rocket 2230,x4 PCIe 4.0/NVMe,M.2,256GB-2TB,Phison E21T,"Single R5, 4-ch, 4-CE/ch",No,Yes,Micron,TLC,176,4750/4300,Mid-Range NVMe
Sabrent Rocket 2242,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,96,2500/2100,Entry-Level NVMe
Sabrent Rocket 4.0,x4 PCIe 4.0/NVMe,M.2,512GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5000/4400,Mid-Range NVMe
Sabrent Rocket 4 (New/4L),x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Phison E27T,,No,Yes,Kioxia,TLC,162,7400/6400,
Sabrent Rocket 4 Plus,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,7000/6850,High-End NVMe
Sabrent Rocket 4 Plus (8TB),x4 PCIe 4.0/NVMe,M.2,8TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,112,7400/6600,High-End NVMe
Sabrent Rocket 4 Plus-G,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7000/6850,High-End NVMe
Sabrent Rocket 5,x4 PCIe 5.0/NVMe,M.2,1TB-8TB,Phison E26,"Dual DC R5 + 3xCoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,232,,High-End NVMe
Sabrent Rocket Nano,USB 3.2 Gen 2x1,USB-C,512GB-2TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Kioxia,TLC,64,1000/1000,Entry-Level NVMe
Sabrent Rocket Nano V2,USB 3.2 Gen 2x2,USB-C,1TB-4TB,Phison U18,"Single-CPU, 2-ch, 8-CE/ch",No,N/A,Hynix,TLC,128,1600/1600,Entry-Level NVMe
Sabrent Rocket Pro,USB 3.2 Gen 2x1,USB-C,256GB-4TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,1000/1000,Entry-Level NVMe
Sabrent Rocket Q,x4 PCIe 3.0/NVMe,M.2,500GB-8TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,3300/3000,Mid-Range NVMe
Sabrent Rocket Q4,x4 PCIe 4.0/NVMe,M.2,2TB-4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,4900/3500,Mid-Range NVMe
Samsung 860 EVO,SATA/AHCI,"2.5"" & M.2 (2TB)",250GB-4TB,Samsung MJX,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Samsung,TLC,64,550/520,High-End SATA
Samsung 860 Pro,SATA/AHCI,"2.5""",256GB-4TB,Samsung MJX,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Samsung,MLC,64,560/530,High-End SATA
Samsung 860 QVO,SATA/AHCI,"2.5""",1TB-4TB,Samsung MJX,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Samsung,QLC,64,550/520,Entry-Level SATA
Samsung 870 EVO,SATA/AHCI,"2.5""",250GB-4TB,Samsung MKX,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Samsung,TLC,128,560/530,High-End SATA
Samsung 870 QVO,SATA/AHCI,"2.5""",1TB-8TB,Samsung MKX,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Samsung,QLC,9x,560/530,Entry-Level SATA
Samsung 960 EVO,x4 PCIe 3.0/NVMe,M.2,512GB-2TB,Samsung Polaris,"Penta-core, 8-ch, 8-CE/ch",Yes,No,Samsung,TLC,48,3200/1900,Mid-Range NVMe
Samsung 960 Pro,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Samsung Polaris,"Penta-core, 8-ch, 8-CE/ch",Yes,No,Samsung,MLC,48,3500/2100,Mid-Range NVMe
Samsung 970 EVO,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Samsung Phoenix,"Penta-core, 8-ch, 8-CE/ch",Yes,No,Samsung,TLC,64,3500/2500,Mid-Range NVMe
Samsung 970 EVO Plus,x4 PCIe 3.0/NVMe,M.2,250GB-2TB,Samsung Phoenix,"Penta-core, 8-ch, 8-CE/ch",Yes,No,Samsung,TLC,96 (92),3500/3300,Mid-Range NVMe
Samsung 970 Pro,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,Samsung Phoenix,"Penta-core, 8-ch, 8-CE/ch",Yes,No,Samsung,MLC,64,3500/2700,Mid-Range NVMe
Samsung 980,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,Samsung Pablo,"Cortex-R5, 4x4",No,Yes,Samsung,TLC,128,3500/3000,Entry-Level NVMe
Samsung 980 Pro,x4 PCIe 4.0/NVMe,M.2,250GB-2TB,Samsung Elpis,"Cortex-R8, 8x8",Yes,N/A,Samsung,TLC,128 (136),7000/5000,High-End NVMe
Samsung 990 EVO,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,Samsung Piccolo,"Hexa-core R8 + R5, 4x4",No,Yes,Samsung,TLC,133,5000/4200,Mid-Range NVMe
Samsung 990 Pro,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,Samsung Pascal,"Cortex-R8, 8x8",Yes,N/A,Samsung,TLC,176,7450/6900,High-End NVMe
Samsung T5,USB 3.2 Gen 2x1,USB-C,250GB-2TB,Samsung MGX,"Dual-core, 8-ch, 8-CE/ch",Yes,N/A,Samsung,TLC,64,540/?,High-End SATA
Samsung T5 EVO,USB 3.2 Gen 1x1,USB-C,2TB-8TB,Samsung MKX,"Tri-core, 8-ch, 8-CE/ch",Yes,N/A,Samsung,QLC,176,460/460,Entry-Level SATA
Samsung T7/T7 Touch/T7 Shield,USB 3.2 Gen 2x1,USB-C,500GB-2TB,Samsung Pablo,"Cortex-R5, 4x4",No,No,Samsung,TLC,96+,1050/1050,Entry-Level NVMe
Samsung T9,USB 3.2 Gen 2x2,USB-C,1TB-4TB,Samsung Pablo,"Cortex-R5, 4x4",No,Yes,Samsung,TLC,128,2000/2000,
Samsung X5,TB3,USB-C,500GB-2TB,Samsung Phoenix,"Penta-core, 8-ch, 8-CE/ch",Yes,No,Samsung,TLC,64,2800/2300,Mid-Range NVMe
SanDisk Extreme Pro NVMe,x4 PCIe 3.0/NVMe,M.2,500GB-1TB,WD Proprietary,"Tri-core, 8-ch, 8-CE/ch",Yes,No,SanDisk,TLC,64,3400/2800,High-End NVMe
SanDisk Extreme Pro NVMe v2,x4 PCIe 3.0/NVMe,M.2,1TB-2TB,WD Proprietary,"Tri-core, 8-ch, 8-CE/ch",Yes,No,SanDisk,TLC,96,2000/2000,Mid-Range NVMe
SanDisk Extreme Port.,USB 3.2 Gen 2x1,USB-C,250GB-2TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,64,550/?,High-End SATA
SanDisk Extreme Port. V2,USB 3.2 Gen 2x2,USB-C,500GB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,N/A,SanDisk,TLC,96,1050/1050,Entry-Level NVMe
SanDisk Extreme PRO Port. V2,USB 3.2 Gen 2x2,USB-C,1TB-4TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,96,2000/2000,Entry-Level NVMe
SanDisk Pro-G40,TB3,USB-C,1TB-2TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,96,2700/1050,Mid-Range NVMe
SanDisk SSD Plus,SATA/AHCI,"2.5""",120GB-2TB,SMI SM2256S,"Single-core, 4-ch, 8-CE/ch",No,N/A,SanDisk/Kioxia,TLC,N/A,545/450,Entry-Level SATA
SanDisk SSD Plus (NVMe),x4 PCIe 3.0/NVMe,M.2,250GB-2TB,WD Proprietary,,No,Yes,SanDisk,,112,3200/3000,Entry-Level NVMe
SanDisk Ultra,x4 PCIe 3.0/NVMe,M.2,250GB-1TB,WD Proprietary,"Tri-core, 4-ch, 8-CE/ch",No,Yes,SanDisk,TLC,96,2400/1950,Entry-Level NVMe
SanDisk Ultra 3D,SATA/AHCI,"2.5""",250GB-2TB,Marvell 88SS1074,"Dual-core, 4-ch, 8-CE/ch",Yes,N/A,SanDisk,TLC,64,550/525,High-End SATA
Seagate 520N,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,,,,,,,,5000/4800,Mid-Range NVMe
Seagate BarraCuda,SATA/AHCI,"2.5""",250GB-2TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Kioxia,TLC,64,560/540,Mid-Range SATA
Seagate BarraCuda 120,SATA/AHCI,"2.5""",250GB-2TB,Phison S12,"Dual-R5 + CoX, 8x8",Yes,N/A,,TLC,96,560/540,High-End SATA
Seagate BarraCuda 510,x4 PCIe 3.0/NVMe,M.2,256GB-512GB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3400/2180,Mid-Range NVMe
Seagate Fast SSD,USB 3.2 Gen 2x1,USB-C,512GB-2TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,96,540/500,Mid-Range SATA
Seagate FireCuda 510,x4 PCIe 3.0/NVMe,M.2,1TB-2TB,Phison E12S,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,3450/3200,Mid-Range NVMe
Seagate FireCuda 520,x4 PCIe 4.0/NVMe,M.2,500GB-2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,96,5500/4400,Mid-Range NVMe
Seagate FireCuda 530,x4 PCIe 4.0/NVMe,M.2,500GB-4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,N/A,Micron,TLC,176,7300/6900,High-End NVMe
